url,beds,city,date,size,type,baths,price,neighborhood,size_min_sqft,size_max_sqft,size_mean_sqft,listing_date,listing_age_days,property_group,beds_clean,baths_clean,neighborhood_bucket,price_per_sqft,flag_extreme_price_per_sqft
https://www.99acres.com/pradeep-luxury-builders-floor-anand-vihar-east-delhi-npxid-r435515,2,Delhi,2025-02-19,Not specified,Independent Floor,2,13000000.0,Anand Vihar,,,,2025-02-19 00:00:00.000,0,Other,2.0,2.0,Other,,True
https://www.99acres.com/chandok-apartments-and-floors-janakpuri-west-delhi-npxid-r437221,2,Delhi,2025-02-19,Not specified,Apartment,2,11000000.0,Janakpuri,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,2.0,Other,,True
https://www.99acres.com/luxury-floors-by-omdev-homes-greater-kailash-2-south-delhi-npxid-r436246,3,Delhi,2025-02-19,Not specified,Independent Floor,3,50000000.0,Greater Kailash 2,,,,2025-02-19 00:00:00.000,0,Other,3.0,3.0,Other,,True
https://www.99acres.com/residential-land-plot-for-sale-in-g-block-sector-44-noida-717-sq-yard-r13-spid-M61426252,0,Noida,2025-02-19,6458 sqft,Residential land / Plot,0,270000000.0,Block G Sector 44,6458.0,6458.0,6458.0,2025-02-19 00:00:00.000,0,Plot,,,Other,41808.60947661815,True
https://www.99acres.com/ivory-county-sector-115-noida-npxid-r400436,3,Noida,2025-02-19,Varies,"3, 4, 5 BHK Apartment",0,29500000.0,Sector 115,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,,Other,,True
https://www.99acres.com/godrej-riverine-sector-44-noida-npxid-r431964,3,Noida,2025-02-19,Varies,"3, 4 BHK Apartment",0,73000000.0,Sector 44,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,,Other,,True
https://www.99acres.com/ats-picturesque-reprieves-sector-152-noida-npxid-r269397,3,Noida,2025-02-19,Varies,"3, 4 BHK Apartment",0,25900000.0,Sector 152,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,,Other,,True
https://www.99acres.com/godrej-woods-sector-43-noida-npxid-r374312,2,Noida,2025-02-19,Varies,"2, 3, 4, 5 BHK Apartment",0,18000000.0,Sector 43,,,,2025-02-19 00:00:00.000,0,Apartment,2.0,,Other,,True
https://www.99acres.com/ivy-county-sector-75-noida-npxid-r341813,3,Noida,2025-02-19,Varies,"3, 4 BHK Apartment",0,26500000.0,Sector 75,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,,Other,,True
https://www.99acres.com/experion-elements-sector-45-noida-npxid-r414339,3,Noida,2025-02-19,Varies,"3, 4 BHK Apartment",0,59500000.0,Sector 45,,,,2025-02-19 00:00:00.000,0,Apartment,3.0,,Other,,True
